WARD,ID,YEAR,ITEM,CATEGORY,LOCATION,COST,TOTAL COST
1,918,2022,Curb & Gutter Menu,Street Resurfacing,2759 N LEAVITT ST,25646,8239780
1,788,2019,Maplewood Park Field House 2019 Phase II Menu Contribution,Parks,1640 N MAPLEWOOD AVE,250000,8239780
1,789,2019,Alley Resurfacing Menu (1-1),Alleys,W OHIO ST & N DAMEN AVE & W RACE AVE & N WOLCOTT AVE,17652,8239780
1,790,2019,Alley Resurfacing Menu,Alleys,N WHIPPLE ST & W BLOOMINGDALE AVE & N HUMBOLDT BLVD W & W CORTLAND ST,37557,8239780
1,791,2019,Alley Resurfacing Menu,Alleys,N ROCKWELL ST & W CORTLAND ST & N TALMAN AVE & W BLOOMINGDALE AVE,70987,8239780
1,792,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W ALTGELD ST,600,8239780
1,793,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W SHAKESPEARE AVE,350,8239780
1,794,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W PALMER ST,350,8239780
1,795,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & W MEDILL AVE,350,8239780
1,796,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N HONORE ST,350,8239780
1,797,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W HURON ST,600,8239780
1,798,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W EVERGREEN AVE,600,8239780
1,799,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,800,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N HOYNE AVE,350,8239780
1,801,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N PAULINA ST,350,8239780
1,802,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W AUGUSTA BLVD & N PAULINA ST,350,8239780
1,803,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N WASHTENAW AVE,350,8239780
1,804,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,805,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N HONORE ST,350,8239780
1,806,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N WOLCOTT AVE,350,8239780
1,807,2019,LPR Reader: 1899 N MOZART,Police Cameras,1900 N MOZART ST,30431,8239780
1,808,2019,Sidewalk Menu,Sidewalk Repair,3101 W ARMITAGE AVE,32387,8239780
1,809,2019,Sidewalk Menu,Sidewalk Repair,2457 N FAIRFIELD AVE,17015,8239780
1,810,2019,Sidewalk Menu,Sidewalk Repair,836 N GREENVIEW AVE,3036,8239780
1,811,2019,Sidewalk Menu,Sidewalk Repair,516 N ADA ST,2386,8239780
1,812,2019,Sidewalk Menu,Sidewalk Repair,2548 W ARMITAGE AVE,3182,8239780
1,813,2019,Sidewalk Menu,Sidewalk Repair,2115 N CALIFORNIA AVE,2652,8239780
1,814,2019,Sidewalk Menu,Sidewalk Repair,1542 N CAMPBELL AVE,10482,8239780
1,815,2019,Sidewalk Menu,Sidewalk Repair,1859 W CHICAGO AVE,6874,8239780
1,816,2019,Sidewalk Menu,Sidewalk Repair,2418 W CORTEZ ST,2278,8239780
1,817,2019,Sidewalk Menu,Sidewalk Repair,3436 W CORTLAND ST,13554,8239780
1,818,2019,Sidewalk Menu,Sidewalk Repair,1220 N DAMEN AVE,1430,8239780
1,819,2019,Sidewalk Menu,Sidewalk Repair,1829 W ELLEN ST,1640,8239780
1,820,2019,Sidewalk Menu,Sidewalk Repair,1457 W ERIE ST,4700,8239780
1,821,2019,Sidewalk Menu,Sidewalk Repair,2439 W FULLERTON AVE,31874,8239780
1,822,2019,Sidewalk Menu,Sidewalk Repair,1378 W GRAND AVE,12964,8239780
1,823,2019,Sidewalk Menu,Sidewalk Repair,2727 W HADDON AVE,2797,8239780
1,824,2019,Sidewalk Menu,Sidewalk Repair,1027 N HERMITAGE AVE,2702,8239780
1,825,2019,Sidewalk Menu,Sidewalk Repair,1935 W HURON ST,1737,8239780
1,826,2019,Sidewalk Menu,Sidewalk Repair,1289 N MILWAUKEE AVE,22454,8239780
1,827,2019,Sidewalk Menu,Sidewalk Repair,2346 W RICE ST,4020,8239780
1,828,2019,Sidewalk Menu,Sidewalk Repair,2009 W SCHILLER ST,67158,8239780
1,829,2019,Sidewalk Menu,Sidewalk Repair,2346 W SUPERIOR ST,949,8239780
1,830,2019,Sidewalk Menu,Sidewalk Repair,1528-1531 N TALMAN AVE,3817,8239780
1,831,2019,Sidewalk Menu,Sidewalk Repair,1539-1541 W WALTON ST,3931,8239780
1,832,2019,Sidewalk Menu,Sidewalk Repair,1832 N WASHTENAW AVE,1387,8239780
1,833,2019,Sidewalk Menu,Sidewalk Repair,1332 N WOLCOTT AVE,1194,8239780
1,834,2019,Street Light Upgrade Menu,Lighting,2024 N STAVE ST,500,8239780
